type,cycle,x_in,y_in,angle_in,x_rot,y_rot,mag_out,angle_out,quotient_out
IN,3,1.000000,0.000000,0.000000,0,0,0,0,0
IN,4,1.000000,0.000000,0.244979,0,0,0,0,0
IN,5,1.000000,0.000000,-0.244979,0,0,0,0,0
IN,6,1.000000,0.000000,0.523599,0,0,0,0,0
IN,7,1.000000,0.000000,0.785398,0,0,0,0,0
IN,8,0.800000,-0.200000,0.349066,0,0,0,0,0
IN,9,0.500000,0.300000,0.000000,0,0,0,0,0
IN,10,0.700000,0.600000,0.000000,0,0,0,0,0
OUT,54,0,0,0,268442683,-4722,268449911,-11661,-8192
OUT,55,0,0,0,260428254,65104531,268449914,65758507,67100672
OUT,56,0,0,0,260428251,-65104531,268449912,-65758507,-67100672
OUT,57,0,0,0,232476228,134224731,268449915,140556387,154984448
OUT,58,0,0,0,189820587,189814696,268449912,210824547,268427264
OUT,59,0,0,0,220165805,22996075,221369467,27939267,28041216
OUT,60,0,0,0,134222756,80530443,156531850,145061389,161062912
OUT,61,0,0,0,187912711,161062305,247498591,190219529,230072320
